EmployeeID,Name,Department,JobRole,Gender,Age,YearsAtCompany,MonthlySalary,PerformanceRating,WorkLifeBalanceScore,AttritionRisk,Attrition_Prob,Risk_Level,gaps_count,weighted_gap_score,coverage_pct,Top_Skill_Gap,Rec_Priority,Recommended_Tools
16,Peter Mckee,Marketing,Seo Analyst,Female,43,5,164012,3,6.63,No,0.0008,LOW,6,19.87,0.4,Writing,Critical,N/A (V2 requires sentence-transformers with valid GPU)
17,Connie Bailey,Support,Support Engineer,Other,41,11,70403,3,5.67,No,0.0012,LOW,6,21.25,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
18,Taylor Morris,It,Tester,Female,39,15,173689,3,3.97,No,0.0018,LOW,7,25.0,0.3,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
19,Nicole Roberts,Support,Helpdesk,Male,47,15,122403,1,5.37,No,0.0092,LOW,5,19.12,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
20,Megan Williams,Support,Support Engineer,Other,23,10,65010,3,4.77,No,0.0011,LOW,5,18.25,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
21,Clinton Scott,Support,Support Engineer,Female,54,2,75646,3,4.83,No,0.0009,LOW,7,23.01,0.3,Writing,Critical,N/A (V2 requires sentence-transformers with valid GPU)
22,Erin Massey,Sales,Sales Executive,Other,60,14,130906,4,1.73,No,0.0013,LOW,5,18.24,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
23,Ashley Marsh,It,Tester,Male,42,6,176048,3,3.37,No,0.0009,LOW,5,18.49,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
24,Jasmine Gonzalez,It,Tester,Female,57,3,68060,2,-1.2,Yes,0.9981,HIGH,5,19.12,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
25,Sharon Lane,Marketing,Content Lead,Other,59,5,62282,4,2.17,No,0.0016,LOW,6,21.12,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
26,David Maldonado,Marketing,Seo Analyst,Other,28,2,89567,3,2.03,No,0.0016,LOW,5,15.0,0.5,Speaking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
27,Sheryl Lopez,Sales,Sales Executive,Other,33,11,82449,4,0.63,No,0.0097,LOW,6,20.12,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
28,Patricia Jones,Marketing,Content Lead,Female,52,4,41883,2,4.17,No,0.0091,LOW,7,25.49,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
29,Samantha Conley,Finance,Accountant,Male,46,15,74577,3,0.77,No,0.0031,LOW,6,21.25,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
30,Matthew Gutierrez,Support,Support Engineer,Male,23,12,104549,4,-2.6,No,0.0098,LOW,6,22.24,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
31,Nicholas Duncan,It,Developer,Other,60,4,74638,4,1.53,No,0.0017,LOW,7,22.5,0.3,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
32,Andrew Contreras,Marketing,Content Lead,Male,50,5,103189,3,5.4,No,0.0008,LOW,7,26.12,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
33,Ashley Hall,It,Tester,Male,43,12,41254,1,4.37,No,0.0383,LOW,6,20.88,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
34,Justin Lawrence,It,Engineer,Male,33,8,152027,3,4.87,No,0.0015,LOW,6,20.24,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
35,Jessica Jones,Marketing,Seo Analyst,Male,27,4,109614,4,5.8,No,0.0012,LOW,6,21.63,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
36,Maria Smith,Finance,Auditor,Male,32,7,38475,3,1.0,No,0.002,LOW,7,21.76,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
37,Bryan Garcia,Marketing,Content Lead,Male,43,6,72671,3,0.93,No,0.002,LOW,5,19.61,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
38,Breanna Chapman,Finance,Accountant,Male,58,15,34306,4,2.07,No,0.0023,LOW,6,22.37,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
39,William Meyer,Finance,Auditor,Other,22,14,73324,3,0.8,No,0.0023,LOW,7,21.64,0.3,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
40,Matthew Maldonado,Finance,Auditor,Male,39,13,163576,3,5.93,No,0.0013,LOW,6,20.51,0.4,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
41,Julia Cobb,Sales,Account Manager,Male,22,9,49953,3,7.2,No,0.001,LOW,6,22.0,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
42,Nicholas Oliver,Marketing,Content Lead,Female,41,6,108906,3,7.23,No,0.0009,LOW,6,21.12,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
43,Whitney Crosby,Marketing,Content Lead,Male,23,15,78457,5,4.6,No,0.0011,LOW,7,26.37,0.3,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
44,Carlos Wall,It,Engineer,Female,55,14,37533,4,0.6,No,0.0017,LOW,6,23.24,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
45,Jerry Walker,Finance,Accountant,Female,33,7,171225,4,0.57,No,0.0015,LOW,7,24.13,0.3,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
46,Charles Le,It,Developer,Male,21,9,101051,1,0.7,Yes,0.9983,HIGH,5,14.49,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
47,Amy Peterson PhD,Sales,Account Manager,Other,33,7,50654,4,-2.6,No,0.0015,LOW,6,19.01,0.4,Writing,Critical,N/A (V2 requires sentence-transformers with valid GPU)
48,Kimberly Campbell,Sales,Sales Executive,Other,22,7,71622,4,0.27,No,0.0014,LOW,6,21.25,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
49,Daniel Smith,Support,Helpdesk,Male,23,4,132390,4,4.53,No,0.0008,LOW,7,25.25,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
50,Steve Henry,It,Tester,Female,54,2,179351,3,-1.83,No,0.0071,LOW,6,21.0,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
51,John Logan,Sales,Sales Executive,Female,57,10,50691,4,2.43,No,0.0022,LOW,7,25.49,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
52,Thomas Ellis,Support,Support Engineer,Other,52,14,163863,4,-1.23,No,0.0099,LOW,5,17.37,0.5,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
53,Amanda White,Marketing,Seo Analyst,Male,36,4,134280,5,9.1,No,0.0009,LOW,6,20.0,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
54,Nicholas Anderson,Finance,Auditor,Female,52,14,38519,2,6.47,No,0.0099,LOW,5,16.26,0.5,Writing,Critical,N/A (V2 requires sentence-transformers with valid GPU)
55,Cassandra Knight,Finance,Accountant,Female,35,4,153394,3,1.2,No,0.0021,LOW,7,26.12,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
56,Jessica Reeves,It,Developer,Male,48,7,42964,2,7.63,No,0.0072,LOW,5,15.37,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
57,Mikayla Black,It,Developer,Other,30,6,52745,1,4.47,No,0.03,LOW,7,21.37,0.3,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
58,Justin Wang,Support,Helpdesk,Other,34,13,37431,3,7.87,No,0.0012,LOW,6,21.24,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
59,Kevin Moreno,Marketing,Seo Analyst,Male,22,3,124008,4,-0.43,No,0.0015,LOW,7,25.63,0.3,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
60,John Lewis,Hr,Hr Executive,Male,48,8,128442,4,6.23,No,0.0009,LOW,7,25.37,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
61,Heather Sosa,Hr,Hr Manager,Other,57,10,137226,2,2.63,Yes,0.9987,HIGH,6,24.5,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
62,Phillip Hunter,It,Tester,Female,48,5,150377,4,3.23,No,0.0008,LOW,5,19.12,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
63,Courtney Ayala,Hr,Hr Manager,Female,27,13,161874,5,8.43,No,0.0013,LOW,6,21.5,0.4,Speaking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
64,Tammy Ramirez,Support,Helpdesk,Female,32,6,39558,3,3.03,No,0.0036,LOW,6,20.37,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
65,James Morgan,Sales,Account Manager,Male,60,12,49620,3,3.53,No,0.0021,LOW,6,19.88,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
66,Cody Barker,Marketing,Content Lead,Female,34,4,86861,3,4.0,No,0.0015,LOW,7,23.88,0.3,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
67,David Smith,Sales,Sales Executive,Female,22,2,155851,4,4.8,No,0.001,LOW,7,23.13,0.3,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
68,Amber Church,Sales,Sales Executive,Female,21,14,72637,2,-0.7,Yes,0.9987,HIGH,5,16.88,0.5,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
69,Tammy Perry,Sales,Account Manager,Female,26,13,151643,4,9.63,No,0.0013,LOW,5,18.37,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
70,Sherry Cox,Finance,Accountant,Female,37,10,155727,2,-0.2,Yes,0.9987,HIGH,5,18.25,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
71,John Turner,Hr,Hr Executive,Female,55,7,71487,5,6.2,No,0.0009,LOW,7,23.37,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
72,Brian Boyle,Marketing,Content Lead,Female,23,14,169631,4,8.5,No,0.0013,LOW,7,26.49,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
73,Peggy Hawkins,It,Developer,Male,29,4,56935,4,-2.03,No,0.0018,LOW,7,22.5,0.3,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
74,Jared Montgomery,Sales,Sales Executive,Female,32,2,68664,3,4.3,No,0.0012,LOW,5,19.61,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
75,Thomas Clark,It,Developer,Other,31,11,129732,4,3.87,No,0.002,LOW,6,18.11,0.4,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
76,Kyle Moyer,Hr,Hr Manager,Female,21,11,36008,2,6.8,No,0.0099,LOW,6,21.0,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
77,Crystal Stevens,Sales,Sales Executive,Other,25,12,163071,4,5.83,No,0.0013,LOW,5,18.24,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
78,Austin Reynolds,Sales,Sales Executive,Other,26,3,44713,3,1.3,No,0.0015,LOW,5,18.0,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
79,Teresa Coleman,Marketing,Content Lead,Male,46,4,73718,4,7.33,No,0.0009,LOW,7,27.24,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
80,Maria Tucker,Hr,Hr Manager,Other,47,11,142815,2,3.63,Yes,0.9815,HIGH,7,26.0,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
81,Louis Mcknight,Support,Helpdesk,Male,43,11,82938,4,3.57,No,0.0011,LOW,6,20.88,0.4,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
82,Jerry Jones,It,Engineer,Female,22,5,32356,2,6.33,No,0.0071,LOW,7,23.13,0.3,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
83,Erik Liu,It,Developer,Other,28,5,150136,4,1.47,No,0.0017,LOW,6,19.5,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
84,Cynthia Fritz,Finance,Auditor,Female,51,4,103550,3,3.57,No,0.0008,LOW,5,14.13,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
85,Phillip Hayes,Sales,Sales Executive,Other,31,5,145121,2,1.73,Yes,0.9981,HIGH,7,25.37,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
86,Jenny Lee,Sales,Sales Executive,Male,54,8,152976,3,5.23,No,0.0008,LOW,5,16.37,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
87,Jonathan Oliver,Support,Support Engineer,Male,44,5,43063,3,7.5,No,0.0009,LOW,7,25.12,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
88,Cynthia Bradley,Marketing,Content Lead,Male,30,12,33987,4,3.13,No,0.0015,LOW,6,23.24,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
89,David Johnson,Marketing,Seo Analyst,Female,44,11,145588,3,1.13,No,0.0026,LOW,7,24.75,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
90,Joan Smith,Finance,Auditor,Other,32,2,43235,3,0.4,No,0.0051,LOW,7,21.51,0.3,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
91,Richard Fuller,It,Tester,Other,60,4,56904,3,2.63,No,0.0016,LOW,7,25.37,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
92,Spencer Kennedy,Finance,Accountant,Female,26,2,62833,5,7.5,No,0.0009,LOW,6,19.13,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
93,Daniel Williams,Sales,Account Manager,Other,22,4,133108,3,6.47,No,0.0009,LOW,5,19.49,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
94,Bonnie Robinson,Support,Helpdesk,Male,35,5,65954,3,2.93,No,0.0009,LOW,6,21.0,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
95,Amy Bowers,Support,Support Engineer,Female,58,7,99805,4,4.97,No,0.0008,LOW,5,18.36,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
96,Cody Jackson,Marketing,Content Lead,Female,43,14,156104,3,9.6,No,0.0013,LOW,6,21.0,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
97,Darlene Neal,Hr,Hr Manager,Female,34,3,115105,3,2.2,No,0.0016,LOW,7,26.0,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
98,Joshua Garcia,Marketing,Content Lead,Female,52,10,77462,3,2.6,No,0.0017,LOW,6,20.37,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
99,Peggy French,Hr,Hr Executive,Female,58,12,136059,4,6.8,No,0.0011,LOW,6,23.24,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
100,Sean Davis DDS,Sales,Account Manager,Male,29,6,152981,3,5.7,No,0.0009,LOW,7,25.25,0.3,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
101,Denise Rush,Hr,Hr Manager,Other,43,11,107081,3,-1.03,No,0.0094,LOW,6,21.88,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
102,Matthew Glenn,Hr,Hr Executive,Female,30,14,172259,5,-1.27,No,0.0021,LOW,7,26.49,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
103,Kathleen Reed,Sales,Account Manager,Female,51,11,50979,4,-0.37,No,0.0093,LOW,5,17.88,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
104,Samuel Fletcher,Support,Support Engineer,Female,27,9,98130,4,4.27,No,0.0009,LOW,5,18.24,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
105,Debra Holt,Marketing,Seo Analyst,Other,59,7,117953,3,2.03,No,0.0016,LOW,5,19.63,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
106,Jennifer Roberts,Finance,Accountant,Female,31,7,149459,2,1.4,Yes,0.9982,HIGH,5,17.49,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
107,Kaitlyn Kramer,It,Developer,Other,33,13,68241,5,5.8,No,0.0012,LOW,7,20.61,0.3,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
108,Paul Kennedy,Hr,Hr Executive,Female,51,7,47360,4,4.57,No,0.0008,LOW,7,24.13,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
109,Joshua Eaton,Support,Support Engineer,Other,49,7,126122,4,5.67,No,0.0008,LOW,7,23.37,0.3,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
110,David Guerrero,It,Developer,Other,33,13,77857,4,6.43,No,0.0012,LOW,5,14.62,0.5,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
111,Brian Wilson,Support,Helpdesk,Male,53,4,50520,3,0.57,No,0.0069,LOW,5,18.0,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
112,Alexis Petty,It,Engineer,Male,49,15,113247,1,1.7,Yes,0.9988,HIGH,6,19.88,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
113,David Matthews,It,Developer,Male,39,11,74074,3,1.6,No,0.0013,LOW,7,21.24,0.3,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
114,Melissa Snyder,Support,Helpdesk,Male,59,2,152599,4,3.77,No,0.0015,LOW,7,26.12,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
115,Dan Sullivan,Sales,Account Manager,Male,33,3,156093,3,9.83,No,0.0009,LOW,5,19.12,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
116,Christine Burton,Support,Helpdesk,Other,22,15,153900,3,6.3,No,0.0013,LOW,5,16.37,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
117,Daniel Thomas,Marketing,Seo Analyst,Other,43,13,168316,2,4.03,Yes,0.9944,HIGH,7,25.0,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
118,Paige Ortiz,Hr,Hr Executive,Female,52,12,31840,2,-0.8,Yes,0.9987,HIGH,5,19.37,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
119,Brett Booth,Finance,Auditor,Female,31,3,44728,3,7.63,No,0.0009,LOW,5,16.76,0.5,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
120,Christopher Stone,Sales,Sales Executive,Other,59,15,144337,3,-0.67,No,0.0099,LOW,6,23.12,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
121,Larry Craig,It,Developer,Male,45,12,78575,2,-1.47,Yes,0.9987,HIGH,7,21.87,0.3,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
122,William Lee,Support,Support Engineer,Male,59,11,121058,3,5.2,No,0.0013,LOW,6,21.25,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
123,Vicki Young,Finance,Auditor,Female,49,7,151344,4,3.93,No,0.0008,LOW,7,21.51,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
124,Tara Lloyd,It,Engineer,Female,44,3,67225,3,6.5,No,0.0009,LOW,5,18.36,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
125,Elizabeth Hunt,Finance,Accountant,Female,22,10,172135,4,7.83,No,0.0013,LOW,5,19.0,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
126,Jennifer Perkins,It,Developer,Male,60,8,91931,3,6.23,No,0.0009,LOW,6,18.24,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
127,Amanda Martin,Sales,Sales Executive,Female,25,14,89066,3,8.37,No,0.0012,LOW,7,24.49,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
128,Michelle Christensen,Hr,Hr Executive,Other,47,5,72561,3,2.43,No,0.0012,LOW,5,18.0,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
129,Christina Romero,Support,Support Engineer,Female,56,8,68809,4,1.37,No,0.0068,LOW,6,20.37,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
130,Leah Smith,It,Tester,Female,35,7,93279,5,7.27,No,0.0009,LOW,6,19.25,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
131,Kenneth Jacobs,Support,Helpdesk,Female,27,10,55650,3,7.53,No,0.0017,LOW,7,24.25,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
132,Robert Smith,Hr,Hr Executive,Other,59,7,74552,5,6.97,No,0.0009,LOW,6,21.49,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
133,Jamie Morgan,Finance,Auditor,Other,55,6,145869,5,4.77,No,0.0013,LOW,6,17.5,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
134,Shaun Diaz,Hr,Hr Manager,Male,45,11,148129,3,5.03,No,0.0012,LOW,6,23.5,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
135,Christy Sanders,Marketing,Content Lead,Female,38,14,44652,3,5.2,No,0.0011,LOW,5,18.25,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
136,Gerald Simmons,Marketing,Seo Analyst,Male,39,2,178756,5,2.6,No,0.0016,LOW,6,20.0,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
137,Nathaniel Bryant II,Finance,Auditor,Female,56,9,110538,3,3.1,No,0.0016,LOW,7,21.51,0.3,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
138,Krista Kennedy,It,Engineer,Female,40,12,39286,4,3.43,No,0.0011,LOW,7,23.88,0.3,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
139,Amanda Smith,It,Developer,Male,30,4,55595,4,7.03,No,0.0009,LOW,7,21.25,0.3,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
140,Dawn Burnett,Sales,Account Manager,Other,56,3,168010,5,0.77,No,0.005,LOW,5,16.25,0.5,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
141,Linda Hernandez,It,Tester,Other,50,10,71526,2,4.03,Yes,0.9946,HIGH,6,21.37,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
142,Joshua Shaw,Sales,Account Manager,Male,23,7,152981,4,8.07,No,0.0009,LOW,6,21.37,0.4,Critical Thinking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
143,Timothy Andrade,Support,Helpdesk,Other,51,6,60483,3,2.97,No,0.0008,LOW,5,17.12,0.5,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
144,Kelsey Nichols,Sales,Account Manager,Other,53,4,37564,3,8.0,No,0.0009,LOW,6,22.25,0.4,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
145,Garrett Garcia,Support,Support Engineer,Male,52,4,103473,3,7.8,No,0.0009,LOW,5,16.0,0.5,Reading Comprehension,Critical,N/A (V2 requires sentence-transformers with valid GPU)
146,John Brown,Hr,Hr Manager,Male,43,14,98618,3,8.63,No,0.0013,LOW,7,26.38,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
147,Brian Foster,Sales,Account Manager,Other,28,10,69768,4,4.47,No,0.0024,LOW,6,21.13,0.4,Speaking,Critical,N/A (V2 requires sentence-transformers with valid GPU)
148,Daniel Lam,Sales,Account Manager,Other,32,11,124262,4,2.3,No,0.0013,LOW,6,22.49,0.4,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
149,Antonio Myers,Support,Support Engineer,Female,48,11,31181,3,3.43,No,0.0021,LOW,7,25.25,0.3,Active Listening,Critical,N/A (V2 requires sentence-transformers with valid GPU)
